name,cid,mw,tpsa,logp,smiles
DMC,11755,398.6,43.4,5.7,
DEC,11754,384.6,17.1,8.2,
EC,7303,88.06,35.5,0.3,
EMC,10885,144.21,26.3,2.3,
PC,7921,100.12,26.3,0.6,
DOL,10442,76.09,40.5,-1.0,
DME,11682,254.41,17.1,1.4,
MP,11124,88.11,26.3,0.8,
EP,10879,31.013,0.0,,
THF,8038,116.16,26.3,1.8,
GBL,7302,86.09,26.3,-0.6,
AN,6342,41.05,23.8,0.0,
FEC,108854,162.14,46.5,0.3,
VC,12230,76.16,25.3,1.5,
PS,7360,102.13,29.5,-0.1,
BS,8295,285.5,44.8,1.3,
SN,12237,275.18,74.3,-0.1,
ADN,8136,170.25,26.3,3.5,
DTD,70079,132.77,0.0,,
Quercetin,5280343,302.23,127.0,1.5,
Catechin,73160,290.27,110.0,0.4,
Epigallocatechin,72181,292.25,129.0,-0.4,
Gallic_Acid,370,170.12,98.0,0.7,
Resveratrol,445154,228.24,60.7,3.1,
Kaempferol,5280863,286.24,107.0,1.9,
Naringenin,439520,408.6,98.0,3.6,
Apigenin,5280443,270.24,87.0,1.7,
Luteolin,5280445,286.24,107.0,1.4,
Genistein,5280961,270.24,87.0,2.7,
