name,cid,mw,tpsa,logp,smiles,homo,lumo
ADN,8136,170.25,26.3,3.5,,-7.42,-0.12
AN,6342,41.05,23.8,0.0,,-7.2,0.05
Apigenin,5280443,270.24,87.0,1.7,,-5.4,0.73
BS,8295,285.5,44.8,1.3,,,
Catechin,73160,290.27,110.0,0.4,,-5.45,0.78
DEC,11754,384.6,17.1,8.2,,-6.45,0.52
DMC,11755,398.6,43.4,5.7,,-6.5,0.5
DME,11682,254.41,17.1,1.4,,-6.2,0.6
DOL,10442,76.09,40.5,-1.0,,-6.15,0.65
DTD,70079,132.77,0.0,,,-7.05,-0.4
EC,7303,88.06,35.5,0.3,,-6.8,0.35
EMC,10885,144.21,26.3,2.3,,-6.4,0.53
EP,10879,31.013,0.0,,,,
Epigallocatechin,72181,292.25,129.0,-0.4,,-5.35,0.8
FEC,108854,162.14,46.5,0.3,,-7.1,-0.2
GBL,7302,86.09,26.3,-0.6,,,
Gallic_Acid,370,170.12,98.0,0.7,,-6.4,0.15
Genistein,5280961,270.24,87.0,2.7,,-5.35,0.71
Kaempferol,5280863,286.24,107.0,1.9,,-5.25,0.79
Luteolin,5280445,286.24,107.0,1.4,,-5.28,0.76
MP,11124,88.11,26.3,0.8,,,
Naringenin,439520,408.6,98.0,3.6,,-5.55,0.75
PC,7921,100.12,26.3,0.6,,-6.65,0.42
PS,7360,102.13,29.5,-0.1,,-6.95,-0.45
Quercetin,5280343,302.23,127.0,1.5,,-5.3,0.82
Resveratrol,445154,228.24,60.7,3.1,,-5.2,0.88
SN,12237,275.18,74.3,-0.1,,-7.5,-0.1
THF,8038,116.16,26.3,1.8,,-6.05,0.7
VC,12230,76.16,25.3,1.5,,-6.85,-0.35
